Line,Class
190,org/apache/commons/math/analysis/solvers/BisectionSolverTest
191,org/apache/commons/math/analysis/solvers/BisectionSolverTest
192,org/apache/commons/math/analysis/solvers/BisectionSolverTest
200,org/apache/commons/math/analysis/solvers/BisectionSolverTest
201,org/apache/commons/math/analysis/solvers/BisectionSolverTest
202,org/apache/commons/math/analysis/solvers/BisectionSolverTest
203,org/apache/commons/math/analysis/solvers/BisectionSolverTest
204,org/apache/commons/math/analysis/solvers/BisectionSolverTest
205,org/apache/commons/math/analysis/solvers/BisectionSolverTest
208,org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl
223,org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils
